BusinessDate,CompanyCode,SiteCode,GrossAmount,temp,humidity,precip,snow,holiday,weekend
2024-01-14,C1061,L1098,5044.8,4.4,80.4,0.002,0.0,0,1
2024-01-16,C1061,L1098,8456.8,0.1,71.0,0.0,0.0,0,0
2024-01-17,C1061,L1098,7766.4,1.3,76.5,0.0,0.0,0,0
2024-01-18,C1061,L1098,9960.2,-0.4,68.0,0.0,0.0,0,0
2024-01-19,C1061,L1098,9194.4,0.4,78.3,0.0,0.0,0,0
2024-01-20,C1061,L1098,11486.7,4.0,70.3,0.0,0.0,0,1
2024-01-21,C1061,L1098,5619.1,9.5,78.9,0.612,0.0,0,1
2024-01-23,C1061,L1098,5492.6,9.5,85.2,0.012,0.0,0,0
2024-01-24,C1061,L1098,6709.1,11.0,68.0,2.788,0.0,0,0
2024-01-25,C1061,L1098,10067.1,10.0,88.0,0.0,0.0,0,0
2024-01-26,C1061,L1098,9985.9,9.1,68.3,2.002,0.0,0,0
2024-01-27,C1061,L1098,13968.0,5.0,81.8,0.0,0.0,0,1
2024-01-28,C1061,L1098,3252.5,7.0,82.4,0.0,0.0,0,1
2024-01-30,C1061,L1098,4238.0,9.1,77.5,0.0,0.0,0,0
2024-01-31,C1061,L1098,7034.5,8.8,72.5,0.199,0.0,0,0
2024-02-01,C1061,L1098,9992.0,7.7,69.9,0.001,0.0,0,0
2024-02-02,C1061,L1098,10843.4,9.8,82.9,0.0,0.0,0,0
2024-02-03,C1061,L1098,12115.2,12.1,83.6,0.002,0.0,0,1
2024-02-04,C1061,L1098,4367.0,11.9,85.1,0.202,0.0,0,1
2024-02-06,C1061,L1098,7861.6,12.6,76.2,0.009,0.0,0,0
2024-02-07,C1061,L1098,7490.5,5.9,87.0,13.382,0.0,0,0
2024-02-08,C1061,L1098,6169.4,7.9,92.0,1.692,0.0,0,0
2024-02-09,C1061,L1098,9695.2,11.1,89.8,18.543,0.0,0,0
2024-02-10,C1061,L1098,11008.7,9.9,87.2,0.002,0.0,0,1
2024-02-11,C1061,L1098,5457.8,8.9,82.4,0.61,0.0,0,1
2024-02-13,C1061,L1098,6169.8,8.5,85.9,0.806,0.0,0,0
2024-02-14,C1061,L1098,8771.4,12.6,88.3,0.998,0.0,0,0
2024-02-15,C1061,L1098,11427.2,13.9,80.7,0.601,0.0,0,0
2024-02-16,C1061,L1098,10358.5,11.8,79.2,1.792,0.0,0,0
